index,cluster
0,1
1,1
2,1
3,0
4,0
5,1
6,0
7,0
8,1
9,0
10,0
11,1
12,1
13,1
14,1
15,0
16,0
17,0
18,0
19,1
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,1
29,1
30,0
31,0
32,0
33,0
34,1
35,0
36,1
37,1
38,1
39,0
40,0
41,1
42,1
43,1
44,0
45,0
46,0
47,1
48,1
49,1
50,0
51,0
52,0
53,1
54,1
55,0
56,0
57,0
58,0
59,1
60,0
61,0
62,0
63,0
64,1
65,1
66,1
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,1
77,0
78,1
79,1
80,0
81,0
82,1
83,0
84,0
85,0
86,0
87,1
88,0
89,1
90,0
91,1
92,1
93,0
94,0
95,1
96,1
97,1
98,0
99,0
100,1
101,1
102,0
103,1
104,1
105,0
106,0
107,0
108,0
109,1
110,1
111,0
112,1
113,0
114,1
115,1
116,0
117,1
118,0
119,1
120,0
121,0
122,1
123,0
124,0
125,1
126,0
127,1
128,1
129,0
130,0
131,0
132,1
133,1
134,1
135,1
136,0
137,1
138,0
139,1
140,0
141,0
142,1
143,0
144,1
145,1
146,1
147,1
148,0
149,1
150,0
151,0
152,0
153,1
154,1
155,1
156,0
157,0
158,0
159,0
160,0
161,1
162,1
163,1
164,0
165,1
166,0
167,0
168,1
169,0
170,0
171,1
172,1
173,1
174,0
175,1
176,1
177,1
178,1
179,0
180,1
181,1
182,1
183,1
184,1
185,0
186,1
187,0
188,1
189,1
190,1
191,1
192,0
193,1
194,1
195,1
196,0
197,0
198,1
199,0
200,0
201,0
202,1
203,0
204,0
205,1
206,0
207,1
208,1
209,0
210,0
211,1
212,1
213,0
214,1
215,0
216,0
217,1
218,1
219,1
220,0
221,1
222,0
223,1
224,1
225,1
226,0
227,1
228,0
229,0
230,0
231,1
232,0
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,0
241,1
242,1
243,0
244,1
245,0
246,0
247,1
248,0
249,1
250,1
251,0
252,0
253,1
254,0
255,0
256,1
257,0
258,0
259,1
260,1
261,0
262,1
263,1
264,0
265,0
266,1
267,0
268,0
269,1
270,1
271,1
272,0
273,0
274,1
275,1
276,1
277,0
278,1
279,0
280,0
281,0
282,1
283,1
284,0
285,1
286,0
287,0
288,0
289,1
290,1
291,1
292,0
293,0
294,1
295,1
296,0
297,1
298,0
299,1
300,0
301,1
302,0
303,0
304,0
305,0
306,0
307,1
308,1
309,0
310,0
311,1
312,1
313,0
314,1
315,1
316,0
317,0
318,0
319,0
320,0
321,0
322,1
323,1
324,0
325,1
326,0
327,0
328,1
329,1
330,0
331,0
332,1
333,0
334,0
335,1
336,1
337,1
338,0
339,1
340,0
341,1
342,0
343,0
344,0
345,0
346,0
347,1
348,0
349,1
350,1
351,0
352,0
353,0
354,1
355,1
356,1
357,0
358,1
359,1
360,0
361,1
362,0
363,1
364,1
365,1
366,1
367,0
368,0
369,0
370,1
371,1
372,1
373,1
374,1
375,0
376,0
377,0
378,1
379,1
380,0
381,1
382,0
383,1
384,0
385,1
386,1
387,1
388,1
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,1
398,0
399,1
400,0
401,1
402,0
403,0
404,1
405,0
406,0
407,0
408,0
409,1
410,0
411,1
412,0
413,1
414,0
415,1
416,1
417,1
418,1
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,1
427,0
428,0
429,1
430,1
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,1
440,1
441,1
442,0
443,0
444,0
445,1
446,1
447,0
448,0
449,0
450,0
451,1
452,1
453,0
454,0
455,0
456,0
457,0
458,0
459,1
460,1
461,1
462,0
463,1
464,1
465,0
466,0
467,0
468,0
469,1
470,0
471,1
472,0
473,0
474,0
475,1
476,1
477,1
478,1
479,0
480,0
481,0
482,1
483,1
484,0
485,1
486,0
487,1
488,0
489,1
490,1
491,1
492,1
493,0
494,1
495,1
496,1
497,0
498,1
499,0
500,1
501,0
502,1
503,0
504,1
505,1
506,1
507,1
508,1
509,0
510,1
511,0
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,0
520,1
521,1
522,0
523,0
524,0
525,1
526,0
527,1
528,1
529,1
530,0
531,1
532,0
533,1
534,1
535,0
536,1
537,0
538,1
539,0
540,1
541,0
542,1
543,1
544,0
545,1
546,0
547,0
548,1
549,0
550,1
551,1
552,0
553,0
554,1
555,1
556,0
557,0
558,0
559,0
560,0
561,0
562,1
563,1
564,1
565,0
566,0
567,0
568,0
569,1
570,1
571,0
572,1
573,0
574,0
575,1
576,1
577,0
578,1
579,1
580,0
581,0
582,1
583,1
584,1
585,1
586,1
587,0
588,0
589,0
590,1
591,0
592,0
593,1
594,0
595,1
596,1
597,0
598,1
599,1
600,1
601,0
602,0
603,0
604,1
605,1
606,1
607,1
608,0
609,0
610,0
611,1
612,0
613,1
614,0
615,0
616,1
617,1
618,0
619,0
620,0
621,1
622,0
623,1
624,1
625,0
626,1
627,0
628,0
629,1
630,0
631,0
632,1
633,0
634,0
635,0
636,1
637,0
638,0
639,1
640,0
641,1
642,0
643,0
644,1
645,1
646,1
647,0
648,0
649,0
650,0
651,0
652,1
653,0
654,1
655,0
656,0
657,0
658,0
659,1
660,0
661,1
662,1
663,0
664,0
665,1
666,0
667,0
668,0
669,0
670,1
671,0
672,1
673,0
674,1
675,1
676,0
677,1
678,0
679,1
680,0
681,1
682,1
683,0
684,0
685,1
686,0
687,0
688,1
689,0
690,1
691,1
692,1
693,1
694,0
695,1
696,0
697,1
698,0
699,0
700,1
701,1
702,1
703,1
704,1
705,1
706,1
707,0
708,1
709,0
710,1
711,1
712,1
713,1
714,1
715,0
716,0
717,0
718,0
719,1
720,1
721,1
722,1
723,0
724,1
725,1
726,1
727,0
728,1
729,0
730,0
731,1
732,0
733,1
734,0
735,0
736,1
737,0
738,0
739,0
740,1
741,1
742,0
743,1
744,0
745,1
746,1
747,0
748,1
749,0
750,0
751,1
752,0
753,0
754,1
755,1
756,1
757,1
758,1
759,0
760,0
761,1
762,1
763,1
764,1
765,0
766,0
767,0
768,0
769,1
770,0
771,1
772,0
773,1
774,1
775,1
776,1
777,1
778,1
779,0
780,1
781,1
782,1
783,1
784,0
785,1
786,0
787,0
788,0
789,0
790,0
791,0
792,1
793,1
794,1
795,1
796,1
797,0
798,1
799,1
800,1
801,1
802,1
803,1
804,0
805,1
806,0
807,0
808,0
809,0
810,0
811,1
